nama_toko,url_toko,rating_toko,nama_produk,harga,rating_produk,terjual,lokasi_seller,kategori,badge,url_produk,platform,waktu_scrape
-,-,-,"1 SET ISI 4 BUKU SANK MAGIC PRACTICE BOOK Buku Belajar Menulis Angka Dan Huruf Anak
Rp11.500 -39%",-,-,-,Kab. Gresik,Buku & Alat Tulis,-,https://www.lazada.co.id/products/pdp-i8287114586-s14696786069.html,Lazada,2026-09-21 10:14
-,-,-,"Remote TV Samsung LCD LED
Rp10.400 -31%",-,-,-,Kab. Gresik,Elektronik,-,https://www.lazada.co.id/products/pdp-i8150956336-s14550570931.html,Lazada,2026-09-21 10:14
-,-,-,"CETAK FOTO UKURAN 2R 100 FOTO (COD)
Rp5.900",-,-,-,Kab. Gresik,Lainnya,-,https://www.lazada.co.id/products/pdp-i7952754706-s14365462254.html,Lazada,2026-09-21 10:14
-,-,-,"Kemeja Pria Panjang Buat Kuliah Kerja Polos Putih
Rp28.999 -42%",-,-,-,Kab. Gresik,Fashion Pria,-,https://www.lazada.co.id/products/pdp-i7989270489-s14596100270.html,Lazada,2026-09-21 10:14
-,-,-,"Lipstik Batang Maybelline/Revlon Super Matte Tampilan Warna Merah
Rp9.999",-,-,-,Kab. Gresik,Kecantikan,-,https://www.lazada.co.id/products/pdp-i8317458683-s16175084475.html,Lazada,2026-09-21 10:14
-,-,-,"Gelang Kulit Anyaman Retro Punk dengan Manik-Manik Matahari dan Bulan Luminous - Hadiah Pasangan Unik
Rp15.000 -70%",-,-,-,Kab. Gresik,Lainnya,-,https://www.lazada.co.id/products/pdp-i8408226887-s14849440953.html,Lazada,2026-09-21 10:14
Nilai Toko 98%,,-,"SEDAAP Mie Instan Goreng Isi 5 Bag 90GR
Rp15.800",-,5,-,Kab. Gresik,Lainnya,-,https://www.lazada.co.id/products/pdp-i5619612228-s11065614880.html,Lazada,2026-09-21 10:14
Yourstyle1119,https://www.lazada.co.id/shop/yourstyle1119/?itemId=1324606375&channelSource=pdp,-,"YOURSTYLE1119 - Kaos Vneck Wanita lengan PENDEK / KAOS TRENDY / KAOS TERLARIS
Rp20.500 -66%",-,4.8,-,Kab. Gresik,Lainnya,-,https://www.lazada.co.id/products/pdp-i1324606375-s2349886080.html,Lazada,2026-09-21 10:14
Matrix,https://www.lazada.co.id/matrix/?type=brand,-,"Remot Remote Set Top Box STB DVB T2 MATRIX Apple Merah
Rp10.500 -58%",-,-,-,Kab. Gresik,Lainnya,-,https://www.lazada.co.id/products/pdp-i8203358316-s14611326007.html,Lazada,2026-09-21 10:14
-,-,-,"Set alat kecantikan satu paket perlengkapan wanita
Rp28.500 -68%",-,-,-,Kab. Gresik,Lainnya,-,https://www.lazada.co.id/products/pdp-i18889195976-s116287872837.html,Lazada,2026-09-21 10:14
