nama_toko,url_toko,rating_toko,nama_produk,harga,rating_produk,terjual,lokasi_seller,kategori,sub_kategori,badge,url_produk,platform,waktu_scrape
-,-,-,Rp 6.000,-,-,-,Kab. Gresik,Perawatan Tubuh,Perlengkapan Mandi,-,https://www.tokopedia.com/kedai-herbal-gresik/sabun-wajah-dan-seluruh-tubuh-hermione-1729680327997492035,Tokopedia,2026-09-25 09:50
-,-,-,"Shoface Gresik
Surabaya
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/shoface-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 68.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/shoface-gresik/shoface-moist-glow-with-uv-filter-reseller-resmi-driyorejo-1731024713829680174,Tokopedia,2026-09-25 09:50
-,-,-,"gudang sarung gresik 1
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Fashion Muslim,,-,https://www.tokopedia.com/gudang-sarung-gresik-1,Tokopedia,2026-09-25 09:50
-,-,-,Rp 150.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/gudang-sarung-gresik-1/atlas-idaman-jacquard-behaestex-motif-tenun-1729630201532286105,Tokopedia,2026-09-25 09:50
-,-,-,"fatma msi gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/fatma-msi-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 50.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/fatma-msi-gresik/si-hitam-bamboo-yg-bisa-bikin-kulit-kita-jd-lbh-sht-bukan-cm-kita-tp-satu-rumah-dr-mulai-dede-bayi-ampe-si-uthi2-apa-lg-si-ani-ani-1729995064419322284,Tokopedia,2026-09-25 09:50
-,-,-,Rp 95.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/fatma-msi-gresik/si-putih-sunscreen-yg-bs-bikin-kulit-wajah-glowing-dan-menyamarkan-flek2-hitam-1729560028990309804,Tokopedia,2026-09-25 09:50
-,-,-,Rp 95.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/fatma-msi-gresik/diamond-face-mist-produk-original-msi-bikin-kulit-wajah-adem-dan-lbh-glowing-1729995107753560492,Tokopedia,2026-09-25 09:50
-,-,-,"isbon gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/isbon-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 229.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/isbon-gresik/boneka-beruang-boneka-teddy-bear-boney-bonita-istana-boneka-gresik-1729873360292841529,Tokopedia,2026-09-25 09:50
-,-,-,Rp 179.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/isbon-gresik/istana-boneka-gresik-balmut-bantal-selimut-kucing-hitam-mono-cocok-untuk-traveling-mudah-dibawa-bahan-halus-1729876222919280697,Tokopedia,2026-09-25 09:50
-,-,-,Rp 359.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/isbon-gresik/istana-boneka-gresik-boneka-beruang-teddy-bear-jumbo-std-boney-bonita-with-syal-lembut-halus-63cm-1729873389200705593,Tokopedia,2026-09-25 09:50
-,-,-,"Rujak-buah-gresik
Surabaya
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/rujak-buah-gresik,Tokopedia,2026-09-25 09:50
-,-,-,"adenium gresik_NEW
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/adenium-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 15.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/adenium-gresik/plastik-polibag-ukuran-20-20-1729901867266246953,Tokopedia,2026-09-25 09:50
-,-,-,"Bengkel Ponsel Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/bengkel-ponsel-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 7.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/bengkel-ponsel-gresik/rainbow-hardcase-xm-rm-note-9-pro-1729646636931909924,Tokopedia,2026-09-25 09:50
-,-,-,Rp 30.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/bengkel-ponsel-gresik/baterai-blv-33-blv33-for-lava-iris-510-1729767288128244004,Tokopedia,2026-09-25 09:50
-,-,-,Rp 5.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/bengkel-ponsel-gresik/anti-crack-case-for-vi-v7-v7-plus-y79-1729678319216462116,Tokopedia,2026-09-25 09:50
-,-,-,"obral Buku murah Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Buku & Alat Tulis,,-,https://www.tokopedia.com/obral-buku-murah-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 25.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/obral-buku-murah-gresik/buku-pengembangan-pendidikan-1731803056312386604,Tokopedia,2026-09-25 09:50
-,-,-,Rp 25.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/obral-buku-murah-gresik/buku-1-anggaran-perusahaan-edisi-2-1731240900410967084,Tokopedia,2026-09-25 09:50
-,-,-,Rp 15.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/obral-buku-murah-gresik/buku-suami-idaman-dambaan-wanita-1731719991063315500,Tokopedia,2026-09-25 09:50
-,-,-,"gresiknih
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/gresiknih,Tokopedia,2026-09-25 09:50
-,-,-,"Kilap Premium Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/kilap-premium-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 20.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/kilap-premium-gresik/kilap-premium-shampoo-cuci-mobil-motor-hyper-waz-1731019382303459283,Tokopedia,2026-09-25 09:50
-,-,-,"Ayla perabot gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/ayla-perabot-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 89.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/ayla-perabot-gresik/rajut-premium-sale-15-rb-an-1729572586679536297,Tokopedia,2026-09-25 09:50
-,-,-,Rp 28.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/ayla-perabot-gresik/toples-plastik-isi-3-pcs-plastik-1729725046477982377,Tokopedia,2026-09-25 09:50
-,-,-,Rp 35.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/ayla-perabot-gresik/rajut-cardigan-outer-murah-santai-1729577795491760809,Tokopedia,2026-09-25 09:50
-,-,-,"alalia gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/alalia-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 18.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/alalia-gresik/serundeng-kelapa-bumbu-jangkep-sangrai-1730502096746284118,Tokopedia,2026-09-25 09:50
-,-,-,Rp 6.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/alalia-gresik/petulo-goreng-snack-keripik-1730438199811212374,Tokopedia,2026-09-25 09:50
-,-,-,"Pusat Kopyah Rajut Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/pusat-kopyah-rajut-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 70.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/pusat-kopyah-rajut-gresik/pusat-kopyah-rajut-gresik-kopyah-rajut-kopyah-laki-laki-kopyah-anak-kopyah-dewasa-kopyah-motif-kopyah-custom-1730556682317301012,Tokopedia,2026-09-25 09:50
-,-,-,Rp 70.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/pusat-kopyah-rajut-gresik/pusat-kopyah-rajut-gresik-kopyah-rajut-kopyah-laki-laki-kopyah-anak-kopyah-dewasa-kopyah-motif-kopyah-custom-1730556599777985812,Tokopedia,2026-09-25 09:50
-,-,-,"Gresik87
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/gresik87,Tokopedia,2026-09-25 09:50
-,-,-,Rp 15.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/gresik87/tas-ransel-anak-paud-model-baru-untuk-fashion-1729743246763853624,Tokopedia,2026-09-25 09:50
-,-,-,"Arety Coffee Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/arety-coffee-gresik,Tokopedia,2026-09-25 09:50
-,-,-,"DH Parcel Gresik Surabaya
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/dh-parcel-gresik-surabaya,Tokopedia,2026-09-25 09:50
-,-,-,"Syihab Store Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/syihab-store-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 499.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/syihab-store-gresik/premium-ethnic-dress-set-katrina-signature-inner-long-outer-1734131775025022731,Tokopedia,2026-09-25 09:50
-,-,-,Rp 50.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/syihab-store-gresik/peci-tawon-mas-hitam-ac-kopiah-original-1734351508445038347,Tokopedia,2026-09-25 09:50
-,-,-,Rp 54.999,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/syihab-store-gresik/peci-tawon-mas-hitam-nu-ac-kopiah-1734351543346497291,Tokopedia,2026-09-25 09:50
-,-,-,"SR12 Gresik ID
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/sr12-gresik-id,Tokopedia,2026-09-25 09:50
-,-,-,"Toko Terang Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/toko-terang-gresik,Tokopedia,2026-09-25 09:50
-,-,-,"Cireng Isi Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/cireng-isi-gresik,Tokopedia,2026-09-25 09:50
-,-,-,"Rumah Mewah Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/rumah-mewah-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 50.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/rumah-mewah-gresik/bunga-kawat-bulu-medium-single-flower-mini-rose-sun-flower-1730299069028403122,Tokopedia,2026-09-25 09:50
-,-,-,"Hari Petis Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/hari-petis-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 300.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/hari-petis-gresik/petis-udang-istimewa-gresik-versi-10kg-1729706014911531409,Tokopedia,2026-09-25 09:50
-,-,-,Rp 250.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/hari-petis-gresik/petis-udang-super-gresik-10kg-1729706024522910097,Tokopedia,2026-09-25 09:50
-,-,-,Rp 35.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/hari-petis-gresik/petis-udang-istimewa-gresik-1729706051897493905,Tokopedia,2026-09-25 09:50
-,-,-,"GRESIK SHOPPP
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/gresik-shoppp,Tokopedia,2026-09-25 09:50
-,-,-,Rp 45.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/gresik-shoppp/kue-kering-nastar-gulung-premium-berkualitas-tinggi-makanan-cookies-camilan-cemilan-food-snacks-1730927048468563401,Tokopedia,2026-09-25 09:50
-,-,-,Rp 45.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/gresik-shoppp/nastar-nanas-premium-cookies-1730927264568608201,Tokopedia,2026-09-25 09:50
-,-,-,Rp 40.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/gresik-shoppp/mawar-selai-strawberry-perisa-buah-segar-siap-saji-food-frozen-1730926944203408841,Tokopedia,2026-09-25 09:50
-,-,-,"REGLOW SKINCARE GRESIK
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Kecantikan,,-,https://www.tokopedia.com/reglow-skincare-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 265.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/reglow-skincare-gresik/reglow-dr-shindy-glowing-skin-treatment-paket-1-asam-hialuronat-hidrasi-kulit-kering-bebas-alkohol-pemutihan-kulit-sensitif-meringankan-kontrol-minyak-semua-jenis-kulit-pelembab-mencerahkan-wajah-hitam-perawatan-1729923998106880290,Tokopedia,2026-09-25 09:50
-,-,-,"JUAL BELI ANTAM GRESIK
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/jual-beli-antam-gresik,Tokopedia,2026-09-25 09:50
-,-,-,"Fitnessworks Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/fitnessworks-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 200.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/fitnessworks-gresik/kaos-sablon-fitnessworks-gresik-1730885421557253223,Tokopedia,2026-09-25 09:50
-,-,-,"Toko Al Khidmah Pegiren Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/toko-al-khidmah-pegiren-gresik,Tokopedia,2026-09-25 09:50
-,-,-,"MKSkin Gresik By Yantiqoe_NEW
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/mkskin-gresik-by-yantiqoe,Tokopedia,2026-09-25 09:50
-,-,-,Rp 302.500,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/mkskin-gresik-by-yantiqoe/mk-skin-paket-melacare-series-mencerahkan-hitam-wajah-free-sunscreen-mini-1730872477637707081,Tokopedia,2026-09-25 09:50
-,-,-,Rp 176.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/mkskin-gresik-by-yantiqoe/mk-skin-retinal-advance-serum-serum-perawatan-wajah-1730941127878411593,Tokopedia,2026-09-25 09:50
-,-,-,Rp 99.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/mkskin-gresik-by-yantiqoe/mk-skin-hyacera-serum-serum-perawatan-kesehatan-kulit-wajah-1730941115594736969,Tokopedia,2026-09-25 09:50
-,-,-,"rumah popok gresik_NEW
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Ibu & Bayi,,-,https://www.tokopedia.com/rumah-popok-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 130.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/rumah-popok-gresik/cod-2pcs-popok-goon-comfort-fit-pants-bayi-diapers-1729942307255912998,Tokopedia,2026-09-25 09:50
-,-,-,Rp 13.500,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/rumah-popok-gresik/bisa-cod-elleair-facial-tissue-1729744662351284774,Tokopedia,2026-09-25 09:50
-,-,-,Rp 120.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/rumah-popok-gresik/cod-goo-n-kiddy-night-4xl-1729730400738904614,Tokopedia,2026-09-25 09:50
-,-,-,"Rama Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/rama-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 14.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/rama-gresik/bergo-hamidah-size-m-santai-instan-1729724775627394037,Tokopedia,2026-09-25 09:50
-,-,-,"PC Gresik
Jakarta Pusat
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/pcgresik,Tokopedia,2026-09-25 09:50
-,-,-,"Gamers Gresik
Jakarta Selatan
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/ggresik,Tokopedia,2026-09-25 09:50
-,-,-,"Jual Rumah Gresik
Jakarta Barat
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/jual-rumah-gresik,Tokopedia,2026-09-25 09:50
-,-,-,"Pentol Khas Gresik Deeza
Kab. Bekasi
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/pentol-khas-gresik-deeza,Tokopedia,2026-09-25 09:50
-,-,-,Rp 28.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/pentol-khas-gresik-deeza/pentol-khas-gresik-deeza-makanan-khas-gresik-yang-lezat-dan-nikmat-1735858616738808981-1735859523338601621,Tokopedia,2026-09-25 09:50
-,-,-,"Laptopgresik
Lihat Toko",-,-,-,Kab. Gresik,Komputer & Aksesoris,,-,https://www.tokopedia.com/gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 3.500.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/gresik/laptop-asus-expertbook-fhd-ips-jernih-ryzen-vga-2gb-numpberpad-1732229513373255603,Tokopedia,2026-09-25 09:50
-,-,-,Rp 2.100.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/gresik/laptop-lenovo-ideapad-slim-3-murah-bodi-slim-perform-ngebut-pakai-ssd-full-hd-ips-1734963369893857203,Tokopedia,2026-09-25 09:50
-,-,-,Rp 3.900.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/gresik/laptop-asus-vivobook-vga-2gb-layar-jernih-full-hd-ips-ngebut-gaming-3d-rendering-video-mulus-fullset-dus,Tokopedia,2026-09-25 09:50
-,-,-,"Umroh Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/umroh-gresik,Tokopedia,2026-09-25 09:50
-,-,-,"HJS GRESIK
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/hjs-gresik,Tokopedia,2026-09-25 09:50
-,-,-,"ANUGRAH BIKE GRESIK_NEW
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/anugrah-bike-gresik,Tokopedia,2026-09-25 09:50
-,-,-,"Sabila Printing Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/sabila-printing-gresik,Tokopedia,2026-09-25 09:50
-,-,-,"diana msglow gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/diana-msglow-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 17.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/diana-msglow-gresik/kaos-lengan-panjang-polos-1729866367560222862,Tokopedia,2026-09-25 09:50
-,-,-,"Sentral sembako Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/sentral-sembako-gresik,Tokopedia,2026-09-25 09:50
-,-,-,"merdeka store gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/merdeka-store-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 7.700.000,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/merdeka-store-gresik/iphone-13-128-garansi-resmi-smartphone-1731798249420785447,Tokopedia,2026-09-25 09:50
-,-,-,"DISTRIBUTOR GRESIK
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/distributor-gresik,Tokopedia,2026-09-25 09:50
-,-,-,"Petrokimia Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Fashion Wanita,,-,https://www.tokopedia.com/petrokimia-gresik,Tokopedia,2026-09-25 09:50
-,-,-,"MULIA MOTOR - GRESIK JAWA TIMUR
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/mulia-motor---gresik-jawa-timur,Tokopedia,2026-09-25 09:50
-,-,-,"Vina Cimory gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/vina-cimory-gresik,Tokopedia,2026-09-25 09:50
-,-,-,"melly homecredit gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/melly-homecredit-gresik,Tokopedia,2026-09-25 09:50
-,-,-,"AgenPetis Gresik_NEW
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/agenpetis-gresik,Tokopedia,2026-09-25 09:50
