Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,sentimen,sentimen_score
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Ali Alikosim,5,2025-09-11T04:02:44.550Z,Jika registrasi ikd di Gresik tapi alamat tempat tinggal saya Situbondo apakah bisa buka blokiran pin ikd di Gresik,jika registrasi ikd di gresik tapi alamat tempat tinggal saya situbondo apakah bisa buka blokiran pin ikd di gresik,jika registrasi ikd di gresik tapi alamat tempat tinggal saya situbondo apakah bisa buka blokiran pin ikd di gresik,registrasi ikd gresik alamat tempat tinggal situbondo apakah buka blokiran pin ikd gresik,Netral,0.9874
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Septian Adi,5,2025-09-02T01:45:51.941Z,Pelayanan admin dekcapil spptij,pelayanan admin dekcapil spptij,pelayanan admin dekcapil spptij,pelayanan admin dekcapil spptij,Netral,0.9935
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Silvia Dessy Arini,5,2025-08-05T07:37:16.905Z,Hari ini 05/08/2025 UPT SDN 200 Gresik bekerja sama dengan disdukcapil Gresik untuk melakukan jemput bola perekaman KIA. Alhamdulillah sekolah kami mendapatkan kesempatan ini. Jadi kami bisa melakukan perekaman secara kolektif di sekolah. Terima kasih banyak disdukcapil Gresik atas program ini. Semoga selalu bisa memberikan pelayanan yang terbaik.,hari ini upt sdn gresik bekerja sama dengan disdukcapil gresik untuk melakukan jemput bola perekaman kia alhamdulillah sekolah kami mendapatkan kesempatan ini jadi kami bisa melakukan perekaman secara kolektif di sekolah terima kasih banyak disdukcapil gresik atas program ini semoga selalu bisa memberikan pelayanan yang terbaik,hari ini upt sdn gresik bekerja sama dengan disdukcapil gresik untuk melakukan jemput bola perekaman kia alhamdulillah sekolah kami mendapatkan kesempatan ini jadi kami bisa melakukan perekaman secara kolektif di sekolah terima kasih banyak disdukcapil gresik atas program ini semoga selalu bisa memberikan pelayanan yang terbaik,hari upt sdn gresik bekerja sama disdukcapil gresik melakukan jemput bola perekaman kia alhamdulillah sekolah mendapatkan kesempatan jadi melakukan perekaman secara kolektif sekolah terima kasih banyak disdukcapil gresik atas program semoga selalu memberikan pelayanan terbaik,Negatif,0.5497
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Arif 28,5,2025-08-05T05:30:04.297Z,Mantab terima kasih atas layanannya bapak ibu yang sedang bertugas,mantab terima kasih atas layanannya bapak ibu yang sedang bertugas,mantab terima kasih atas layanannya bapak ibu yang sedang bertugas,mantab terima kasih atas layanannya bapak ibu sedang bertugas,Negatif,0.8679
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Fatkur Pgsd,5,2025-08-05T04:27:16.268Z,Kunjungan dispendukcapil gresik ke upt sdn 200 gresik.Pengurusan ktp guru dan kia anak. Memudahkan kami dalam mengurus.,kunjungan dispendukcapil gresik ke upt sdn gresik pengurusan ktp guru dan kia anak memudahkan kami dalam mengurus,kunjungan dispendukcapil gresik ke upt sdn gresik pengurusan ktp guru dan kia anak memudahkan kami dalam mengurus,kunjungan dispendukcapil gresik upt sdn gresik pengurusan ktp guru kia anak memudahkan mengurus,Netral,0.996
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Ardhian Ahmad,5,2025-08-05T04:26:28.996Z,"Layanan memuaskan, cepat, akurat dan mudah. Pengurusan KIA dan KTP di UPT SDN 200 Gresik.",layanan memuaskan cepat akurat dan mudah pengurusan kia dan ktp di upt sdn gresik,layanan memuaskan cepat akurat dan mudah pengurusan kia dan ktp di upt sdn gresik,layanan memuaskan cepat akurat mudah pengurusan kia ktp upt sdn gresik,Negatif,0.9296
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Dhee Dhee,5,2025-07-29T16:32:05.863Z,Mengurus KTP hilang apa bisa diurus disini.alamat KTP kabupaten semarang?,mengurus ktp hilang apa bisa diurus disini alamat ktp kabupaten semarang,mengurus ktp hilang apa bisa diurus disini alamat ktp kabupaten semarang,mengurus ktp hilang apa diurus disini alamat ktp kabupaten semarang,Netral,0.7396
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Meiva Baguna,5,2025-07-26T09:50:32.183Z,"Sangat membantu, terima kasih",sangat membantu terima kasih,sangat membantu terima kasih,membantu terima kasih,Negatif,0.8698
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,khoir misbahul,5,2025-07-23T03:07:33.937Z,Pelayanannya sangat bagus dan memuaskan,pelayanannya sangat bagus dan memuaskan,pelayanannya sangat bagus dan memuaskan,pelayanannya bagus memuaskan,Negatif,0.9971
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Habibi Farm,5,2025-07-23T03:03:47.193Z,Terima kasih atas pelayanan KIA di UPT SDN 211 Gresik untuk anak ABK,terima kasih atas pelayanan kia di upt sdn gresik untuk anak abk,terima kasih atas pelayanan kia di upt sdn gresik untuk anak abk,terima kasih atas pelayanan kia upt sdn gresik anak abk,Netral,0.6698
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Suci Rahmawati,5,2025-07-16T03:26:54.426Z,Ada link buat ngurus lewat online kah ??,ada link buat ngurus lewat online kah,ada link buat ngurus lewat online kah,link buat ngurus lewat online,Netral,0.9839
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,ANA HABIBAH,5,2025-07-11T03:32:39.772Z,Pelayanan cepat dan ramah 😍,pelayanan cepat dan ramah,pelayanan cepat dan ramah,pelayanan cepat ramah,Negatif,0.9955
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Mardarena Kristina Putri,5,2025-06-13T01:50:20.518Z,Kalau nik waktu daftar mbanking tidak terdaftar tapi domisili diluar gresik apa bisa tolong kasih saran,kalau nik waktu daftar mbanking tidak terdaftar tapi domisili diluar gresik apa bisa tolong kasih saran,kalau nik waktu daftar mbanking tidak terdaftar tapi domisili diluar gresik apa bisa tolong kasih saran,nik waktu daftar mbanking terdaftar domisili diluar gresik apa tolong kasih saran,Netral,0.9607
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Cak Bayu Mancing,5,2025-06-10T15:49:46.886Z,"Apakah bisa mengurus ktp yg hilang, tapi ktp luar kota?",apakah bisa mengurus ktp yg hilang tapi ktp luar kota,apakah bisa mengurus ktp yang hilang tapi ktp luar kota,apakah mengurus ktp hilang ktp luar kota,Netral,0.9858
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Maiza Widayanti,4,2025-06-10T03:45:00.198Z,Lumayan,lumayan,lumayan,lumayan,Negatif,0.9946
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Dadio Apik,5,2025-06-04T02:41:11.680Z,PEMDES SIDORAHARJO Terimakasih atas pelayanan yg Sangat Prima DISPENDUK CAPIL dg langkah JEMPUT BOLA  rekam e-KTP di RS Paciran.,pemdes sidoraharjo terimakasih atas pelayanan yg sangat prima dispenduk capil dg langkah jemput bola rekam e ktp di rs paciran,pemdes sidoraharjo terimakasih atas pelayanan yang sangat prima dispenduk capil dengan langkah jemput bola rekam e ktp di rumah sakit paciran,pemdes sidoraharjo terimakasih atas pelayanan prima dispenduk capil langkah jemput bola rekam ktp rumah sakit paciran,Netral,0.996
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Moh Thoyib,5,2025-06-04T02:38:43.622Z,Terimakasih atas pelanannya yg sangat prima,terimakasih atas pelanannya yg sangat prima,terimakasih atas pelanannya yang sangat prima,terimakasih atas pelanannya prima,Negatif,0.9062
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Helvi Pahlevi,5,2025-06-01T07:52:32.843Z,Pelayan yang ramah cepat dan memuaskan,pelayan yang ramah cepat dan memuaskan,pelayan yang ramah cepat dan memuaskan,pelayan ramah cepat memuaskan,Negatif,0.9954
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Muhammad Gilang,5,2025-06-01T07:20:40.658Z,pelayanan mantab  dan cepat   sehari langsung jadi,pelayanan mantab dan cepat sehari langsung jadi,pelayanan mantab dan cepat sehari langsung jadi,pelayanan mantab cepat sehari langsung jadi,Negatif,0.9964
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,aini habibah,5,2025-06-01T07:19:11.691Z,Pelayanannya sangat cepat dan ramah,pelayanannya sangat cepat dan ramah,pelayanannya sangat cepat dan ramah,pelayanannya cepat ramah,Negatif,0.9965
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Calista Misnan,5,2025-06-01T06:50:02.519Z,Pelayanan bagus dan cepat,pelayanan bagus dan cepat,pelayanan bagus dan cepat,pelayanan bagus cepat,Negatif,0.9965
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Hcgh Bbh,5,2025-06-01T06:44:10.315Z,"Sangat luar biasa,cepat mudah",sangat luar biasa cepat mudah,sangat luar biasa cepat mudah,luar biasa cepat mudah,Negatif,0.9959
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Riski,5,2025-06-01T05:22:07.242Z,pelayanan cepat,pelayanan cepat,pelayanan cepat,pelayanan cepat,Negatif,0.9954
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Nur Hasanah,5,2025-06-01T05:10:42.472Z,Pelayanan bagus dan cepat,pelayanan bagus dan cepat,pelayanan bagus dan cepat,pelayanan bagus cepat,Negatif,0.9965
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Ananda Priatama,5,2025-06-01T04:58:09.583Z,Bagus,bagus,bagus,bagus,Negatif,0.9961
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Lisa Imro'atus S.,5,2025-06-01T04:47:23.121Z,"Pelayanan baik dan cepat, hasil dokumen bisa ditunggu langsung jadi, dan petugas ramah. Terima kasih",pelayanan baik dan cepat hasil dokumen bisa ditunggu langsung jadi dan petugas ramah terima kasih,pelayanan baik dan cepat hasil dokumen bisa ditunggu langsung jadi dan petugas ramah terima kasih,pelayanan baik cepat hasil dokumen ditunggu langsung jadi petugas ramah terima kasih,Negatif,0.8495
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Su Darmawan,5,2025-06-01T04:03:24.376Z,Pelayanan cepat,pelayanan cepat,pelayanan cepat,pelayanan cepat,Negatif,0.9954
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,safira azzahra,3,2025-06-01T04:02:18.848Z,bagus,bagus,bagus,bagus,Negatif,0.9961
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Rozikin Riski,5,2025-06-01T03:54:17.752Z,Pelayanan sangatt ramah dan prosesnya cepat😊,pelayanan sangatt ramah dan prosesnya cepat,pelayanan sangatt ramah dan prosesnya cepat,pelayanan sangatt ramah prosesnya cepat,Negatif,0.9922
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Fitrotul Hidayah,5,2025-06-01T03:54:12.249Z,"Pelayanannya super cepat,petugasnya sangat ramah☺️",pelayanannya super cepat petugasnya sangat ramah,pelayanannya super cepat petugasnya sangat ramah,pelayanannya super cepat petugasnya ramah,Negatif,0.9974
