Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,mohammed hassan ali,4,2021-11-15T21:34:16.228Z,"pelayanan publik yang cepat seperti pengurusan OSS (one single submission), PBB, Tilangan, dan lain-lain"
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Inez Chu,2,2021-11-05T04:54:51.653Z,"Utk pengurusan IMB ini jadinya gmn??katanya mau ganti PBG tapi pengurusan belum jelas,diminta menunggu tanpa kejelasan. Tolong keputusannya ini bgmn jadinya biar prosesnya bisa dipercepat!!"
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Kenzo Jovan,5,2021-09-22T04:31:41.139Z,Ini sangat membantu mengurangi antrian di kantor kantor aslinya. Pelayanan nya pun sangat cepat banget. Tempatnya berada di area pemda gresik. Tempatnya sangat bersih dan rapi pengunjung di manjakan ama kursi tunggu sofa yang empuk. Bagus banget aku suka aku suka
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Rikhal Watanabe,5,2021-09-17T01:01:03.307Z,
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Nasichun Amin Gresik,5,2021-08-12T09:51:10.688Z,Bagus
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Farit Syafrulloh,4,2021-08-04T13:59:49.344Z,
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Bagus Wicaksono,5,2021-08-04T04:16:59.378Z,"Pelayanan baik dan cepat , untuk lebih cepat pelayanan daftar online saja karna tinggal ambil berkas jadi di sini . Mantap tingkatkan terus pelayanannya 👍🏻"
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,sokip bonek,3,2021-06-07T13:33:09.639Z,Apa disini bisa ngurus pembaruan data ktp dan bpjs?
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Laili fitriyah,5,2021-06-07T03:39:01.411Z,Urus pembaruan data ektp. Gak sampe 10 menit udah jadi.
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,ummi thoyyibah,5,2021-06-05T02:28:51.711Z,
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Dody Pratignyo,4,2021-04-26T06:04:23.626Z,Belum Maximal. Karena Pegawai yang di Utus bukan Pegawai yang sudah Profesional.
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Choirul Azali,5,2021-04-19T11:59:49.761Z,Mau tanya ktp luar kota tapi masih wil jatim bisa ngurus disini ta...ktp saya blur tulisanya banyak yang hilang...kebetulan saya kerja di gresik
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Alva Nabilla,5,2021-04-08T23:56:47.896Z,Pelayanan cepat dan tempatnya nyaman
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Asrori Oyi,3,2021-04-08T03:10:44.882Z,Tolong untuk persyaratan mengenai adminitrasi kependudukan  kk atau ktp bisa di beritahuakan di kelurahan agar masyarakat yang mau mengurus bisa langsung jadi dan tidak kembali 2 kali...semoga gresik jadi lebih baik.
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,sri wahyuni,1,2021-03-08T08:18:53.948Z,
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Rachman Arief,4,2021-03-08T01:22:16.046Z,"Jam pelayanan kok tdk sama antar instansi, ada yang buka jam 8 ada juga yang buka jam 8.30, mohon bisa dikoreksi utk jam buka pastinya."
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Ingsun Bae,5,2021-02-18T02:24:59.427Z,"Tempat pelayanan publik di Gresik, pegawai ramah tempat bersih dan sejuk pertahankan kalau bisa tingkatkan"
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Zuhroni Ali Fikri,5,2020-12-19T17:11:54.656Z,Cukup nyaman. Lokasi agak membingungkan awalnya karena MPP berada di belakang.
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Reni Sartina,4,2020-11-29T12:19:13.793Z,It's informative place with simple settings. Love to come to this place
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,sahabat kita,4,2020-11-10T08:05:20.855Z,"Tempatnya nyaman, bagus, bersih dan pelayanannya baik, yang menurut saya kurang mungkin SDM nya di tambah lagi dan di tingkat kan lagi dari segi lama proses pelayanan nya, sebagian besar proses wabil khusus nya pelayanan pengurusan imb, site plan. Semoga tambah lagi di tingkat kan lagi pelanannya dan inovasi dalam pelayanan perijinan dll, Bravo Kab. Gresik 👍👍👍"
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Mohammad Kemal,5,2020-10-14T01:52:43.303Z,
