Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,sentimen,sentimen_score
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Rosari Utomo,5,2022-06-02T03:34:20.256Z,"Mengurus pindah penduduk antar kota dalam provinsi bisa dilakukan di mpp ini dengan mudah, sekaligus bisa bayar pajak kendaraan ya di sini juga bisa.",mengurus pindah penduduk antar kota dalam provinsi bisa dilakukan di mpp ini dengan mudah sekaligus bisa bayar pajak kendaraan ya di sini juga bisa,mengurus pindah penduduk antar kota dalam provinsi bisa dilakukan di mpp ini dengan mudah sekaligus bisa bayar pajak kendaraan ya di sini juga bisa,mengurus pindah penduduk antar kota provinsi dilakukan mpp mudah sekaligus bayar pajak kendaraan ya sini,Netral,0.6271
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Ummu Zulfa,5,2022-05-19T05:32:16.075Z,"Pelayanan memuaskan, cepat, ramah, ada kafetaria juga. Tempatnya adem, bersih.",pelayanan memuaskan cepat ramah ada kafetaria juga tempatnya adem bersih,pelayanan memuaskan cepat ramah ada kafetaria juga tempatnya adem bersih,pelayanan memuaskan cepat ramah kafetaria tempatnya adem bersih,Negatif,0.9972
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,rina agustin,2,2022-05-12T02:09:38.483Z,Loket imb hanya 1 orang. Antrian per orangnya  bisa sampek 30menit.,loket imb hanya orang antrian per orangnya bisa sampek 30menit,loket imb hanya orang antrian per orangnya bisa sampek 30menit,loket imb hanya orang antrian per orangnya sampek 30menit,Netral,0.988
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Shafira Rosh,3,2022-04-13T16:40:47.438Z,"Ruang tunggu sangat nyaman. Petugas resepsionis depan sangat ramah + sigap memberi arahan & no antrian.  Saya  mengurus perubahan data KK namun petugas KK kurang ramah dan tdk memberi penjelasan pd customer, smg kedepannya diperbaiki karena seharusnya petugas mengedepankan pelayanan yg baik dan jelas agar customer tidak bingung dan urusan cepat selesai.",ruang tunggu sangat nyaman petugas resepsionis depan sangat ramah sigap memberi arahan no antrian saya mengurus perubahan data kk namun petugas kk kurang ramah dan tdk memberi penjelasan pd customer smg kedepannya diperbaiki karena seharusnya petugas mengedepankan pelayanan yg baik dan jelas agar customer tidak bingung dan urusan cepat selesai,ruang tunggu sangat nyaman petugas resepsionis depan sangat ramah sigap memberi arahan no antrian saya mengurus perubahan data kk namun petugas kk kurang ramah dan tidak memberi penjelasan pada customer smg kedepannya diperbaiki karena seharusnya petugas mengedepankan pelayanan yang baik dan jelas agar customer tidak bingung dan urusan cepat selesai,ruang tunggu nyaman petugas resepsionis depan ramah sigap memberi arahan no antrian mengurus perubahan data kk petugas kk kurang ramah memberi penjelasan customer smg kedepannya diperbaiki seharusnya petugas mengedepankan pelayanan baik jelas agar customer bingung urusan cepat selesai,Positif,0.8767
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Denata Ricko,5,2022-04-12T03:52:51.804Z,"Mengurus pergantian alamat KTP di booth disdukcapil sangat cepat.  Tidak perlu bawa FC""an Cukup bawa KTP lama dan KK Asli.",mengurus pergantian alamat ktp di booth disdukcapil sangat cepat tidak perlu bawa fc an cukup bawa ktp lama dan kk asli,mengurus pergantian alamat ktp di booth disdukcapil sangat cepat tidak perlu bawa fc an cukup bawa ktp lama dan kk asli,mengurus pergantian alamat ktp booth disdukcapil cepat perlu bawa fc an cukup bawa ktp lama kk asli,Netral,0.9975
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Akhmad muhtadiyn,3,2022-04-12T02:31:02.576Z,"Jam bukanya yg kurang, saran saya buka 24jam",jam bukanya yg kurang saran saya buka 24jam,jam bukanya yang kurang saran saya buka 24jam,jam bukanya kurang saran buka 24jam,Netral,0.628
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,BIBIE HOBI,5,2022-03-29T05:23:32.455Z,Pelayanan sangat cepet Tempat antrian juga nyaman,pelayanan sangat cepet tempat antrian juga nyaman,pelayanan sangat cepet tempat antrian juga nyaman,pelayanan cepet tempat antrian nyaman,Negatif,0.9942
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,D3 TM 16 Fareid Piston 07,1,2022-02-24T05:21:03.306Z,12.05 sudah tutup maszeh,sudah tutup maszeh,sudah tutup maszeh,tutup maszeh,Netral,0.886
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Rizki Adi Adha,5,2022-02-24T04:10:00.431Z,"Pelayanannya cepat sekali. Untuk yang baru pertama kali kesini tempanya paling belakang. Dari pintu masuk mengikuti jalan belokan pertama liat pertigaan sebelah kiri, kemudian lurus terus sekitar kurang kebih 500 belok kanan nanti ada petunjuknya jika kurang faham",pelayanannya cepat sekali untuk yang baru pertama kali kesini tempanya paling belakang dari pintu masuk mengikuti jalan belokan pertama liat pertigaan sebelah kiri kemudian lurus terus sekitar kurang kebih belok kanan nanti ada petunjuknya jika kurang faham,pelayanannya cepat sekali untuk yang baru pertama kali kesini tempanya paling belakang dari pintu masuk mengikuti jalan belokan pertama liat pertigaan sebelah kiri kemudian lurus terus sekitar kurang kebih belok kanan nanti ada petunjuknya jika kurang faham,pelayanannya cepat pertama kali kesini tempanya paling belakang pintu masuk mengikuti jalan belokan pertama liat pertigaan sebelah kiri kemudian lurus terus sekitar kurang kebih belok kanan nanti petunjuknya kurang faham,Positif,0.5947
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Ikhwanun N,5,2022-01-27T14:11:49.002Z,MANTAP,mantap,bagus,bagus,Negatif,0.9961
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Gee_ Hart0,5,2021-12-29T04:42:57.405Z,Bikin ktp baru syaratnya cuma fc kk . Trus lgs foto.. Bsoknya Tinggal ambil kartu KTPnya.. Mantap pelayananya. Terimakasih utk pemerintah👍👍👍🇮🇩🇮🇩🇮🇩,bikin ktp baru syaratnya cuma fc kk trus lgs foto bsoknya tinggal ambil kartu ktpnya mantap pelayananya terimakasih utk pemerintah,bikin ktp baru syaratnya cuma fc kk trus lgs foto bsoknya tinggal ambil kartu ktpnya bagus pelayananya terimakasih untuk pemerintah,bikin ktp syaratnya cuma fc kk trus lgs foto bsoknya tinggal ambil kartu ktpnya bagus pelayananya terimakasih pemerintah,Negatif,0.8693
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Retno Dini,5,2021-12-15T12:13:06.663Z,"Baru tau kalo Gresik udah punya fasilitas pelayanan publik yang sangat ngebantu banget. Semua instansi pelayanan publik dikumpulkan dalam 1 gedung yang nyaman dan aman. Antriannya jauh lebih sepi dari kantor aslinya, jadi kalo ngurus apa2 jadi serba cepet. Fasilitas juga lengkap mulai dari wifi gratis, cafetaria, bahkan ruang laktasi. Semuanya dalam keadaan baik dan bersih. Kursi tunggu juga nyaman banget. Kebetulan kesana buat urus SKCK, jadi diarahkan buat ambil antrian polres dan langsung ditanganin karna ga ada yang antri😬. Ibu2nya ramah banget, asik diajak ngobrol. Dan ternyata mall pelayanan publik ini udah berjalan setahun lebih, yakin bgt banyak orang gresik yang ga tau. Mungkin ini PR buat pemkab buat sosialisasi ke masyarakat. Good job buat gresik udah berani selangkah lebih maju dari kota2 lain✨",baru tau kalo gresik udah punya fasilitas pelayanan publik yang sangat ngebantu banget semua instansi pelayanan publik dikumpulkan dalam gedung yang nyaman dan aman antriannya jauh lebih sepi dari kantor aslinya jadi kalo ngurus apa2 jadi serba cepet fasilitas juga lengkap mulai dari wifi gratis cafetaria bahkan ruang laktasi semuanya dalam keadaan baik dan bersih kursi tunggu juga nyaman banget kebetulan kesana buat urus skck jadi diarahkan buat ambil antrian polres dan langsung ditanganin karna ga ada yang antri ibu2nya ramah banget asik diajak ngobrol dan ternyata mall pelayanan publik ini udah berjalan setahun lebih yakin bgt banyak orang gresik yang ga tau mungkin ini pr buat pemkab buat sosialisasi ke masyarakat good job buat gresik udah berani selangkah lebih maju dari kota2 lain,baru tau kalo gresik udah punya fasilitas pelayanan publik yang sangat ngebantu banget semua instansi pelayanan publik dikumpulkan dalam gedung yang nyaman dan aman antriannya jauh lebih sepi dari kantor aslinya jadi kalo ngurus apa2 jadi serba cepet fasilitas juga lengkap mulai dari wifi gratis cafetaria bahkan ruang laktasi semuanya dalam keadaan baik dan bersih kursi tunggu juga nyaman banget kebetulan kesana buat urus skck jadi diarahkan buat ambil antrian polres dan langsung ditanganin karna tidak ada yang antrian ibu2nya ramah banget asik diajak ngobrol dan ternyata mall pelayanan publik ini udah berjalan setahun lebih yakin banget banyak orang gresik yang tidak tau mungkin ini pr buat pemkab buat sosialisasi ke masyarakat good job buat gresik udah berani selangkah lebih maju dari kota2 lain,tau kalo gresik udah punya fasilitas pelayanan publik ngebantu banget semua instansi pelayanan publik dikumpulkan gedung nyaman aman antriannya jauh sepi kantor aslinya jadi kalo ngurus apa2 jadi serba cepet fasilitas lengkap mulai wifi gratis cafetaria bahkan ruang laktasi semuanya keadaan baik bersih kursi tunggu nyaman banget kebetulan kesana buat urus skck jadi diarahkan buat ambil antrian polres langsung ditanganin karna antrian ibu2nya ramah banget asik diajak ngobrol ternyata mall pelayanan publik udah berjalan setahun yakin banget banyak orang gresik tau mungkin pr buat pemkab buat sosialisasi masyarakat good job buat gresik udah berani selangkah maju kota2 lain,Negatif,0.9974
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,mohammed hassan ali,4,2021-11-15T21:34:16.228Z,"pelayanan publik yang cepat seperti pengurusan OSS (one single submission), PBB, Tilangan, dan lain-lain",pelayanan publik yang cepat seperti pengurusan oss one single submission pbb tilangan dan lain lain,pelayanan publik yang cepat seperti pengurusan oss one single submission pbb tilangan dan lain lain,pelayanan publik cepat seperti pengurusan oss one single submission pbb tilangan lain lain,Netral,0.9885
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Inez Chu,2,2021-11-05T04:54:51.653Z,"Utk pengurusan IMB ini jadinya gmn??katanya mau ganti PBG tapi pengurusan belum jelas,diminta menunggu tanpa kejelasan. Tolong keputusannya ini bgmn jadinya biar prosesnya bisa dipercepat!!",utk pengurusan imb ini jadinya gmn katanya mau ganti pbg tapi pengurusan belum jelas diminta menunggu tanpa kejelasan tolong keputusannya ini bgmn jadinya biar prosesnya bisa dipercepat,untuk pengurusan imb ini jadinya gmn katanya mau ganti pbg tapi pengurusan belum jelas diminta menunggu tanpa kejelasan tolong keputusannya ini bgmn jadinya biar prosesnya bisa dipercepat,pengurusan imb jadinya gmn katanya mau ganti pbg pengurusan jelas diminta menunggu tanpa kejelasan tolong keputusannya bgmn jadinya biar prosesnya dipercepat,Netral,0.6631
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Kenzo Jovan,5,2021-09-22T04:31:41.139Z,Ini sangat membantu mengurangi antrian di kantor kantor aslinya. Pelayanan nya pun sangat cepat banget. Tempatnya berada di area pemda gresik. Tempatnya sangat bersih dan rapi pengunjung di manjakan ama kursi tunggu sofa yang empuk. Bagus banget aku suka aku suka,ini sangat membantu mengurangi antrian di kantor kantor aslinya pelayanan nya pun sangat cepat banget tempatnya berada di area pemda gresik tempatnya sangat bersih dan rapi pengunjung di manjakan ama kursi tunggu sofa yang empuk bagus banget aku suka aku suka,ini sangat membantu mengurangi antrian di kantor kantor aslinya pelayanan nya pun sangat cepat banget tempatnya berada di area pemda gresik tempatnya sangat bersih dan rapi pengunjung di manjakan ama kursi tunggu sofa yang empuk bagus banget aku suka aku suka,membantu mengurangi antrian kantor kantor aslinya pelayanan cepat banget tempatnya berada area pemda gresik tempatnya bersih rapi pengunjung manjakan ama kursi tunggu sofa empuk bagus banget aku suka aku suka,Negatif,0.9981
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Nasichun Amin Gresik,5,2021-08-12T09:51:10.688Z,Bagus,bagus,bagus,bagus,Negatif,0.9961
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Bagus Wicaksono,5,2021-08-04T04:16:59.378Z,"Pelayanan baik dan cepat , untuk lebih cepat pelayanan daftar online saja karna tinggal ambil berkas jadi di sini . Mantap tingkatkan terus pelayanannya 👍🏻",pelayanan baik dan cepat untuk lebih cepat pelayanan daftar online saja karna tinggal ambil berkas jadi di sini mantap tingkatkan terus pelayanannya,pelayanan baik dan cepat untuk lebih cepat pelayanan daftar online saja karna tinggal ambil berkas jadi di sini bagus tingkatkan terus pelayanannya,pelayanan baik cepat cepat pelayanan daftar online saja karna tinggal ambil berkas jadi sini bagus tingkatkan terus pelayanannya,Negatif,0.9792
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,sokip bonek,3,2021-06-07T13:33:09.639Z,Apa disini bisa ngurus pembaruan data ktp dan bpjs?,apa disini bisa ngurus pembaruan data ktp dan bpjs,apa disini bisa ngurus pembaruan data ktp dan bpjs,apa disini ngurus pembaruan data ktp bpjs,Netral,0.977
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Laili fitriyah,5,2021-06-07T03:39:01.411Z,Urus pembaruan data ektp. Gak sampe 10 menit udah jadi.,urus pembaruan data ektp gak sampe menit udah jadi,urus pembaruan data ektp tidak sampe menit udah jadi,urus pembaruan data ektp sampe menit udah jadi,Netral,0.9971
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Dody Pratignyo,4,2021-04-26T06:04:23.626Z,Belum Maximal. Karena Pegawai yang di Utus bukan Pegawai yang sudah Profesional.,belum maximal karena pegawai yang di utus bukan pegawai yang sudah profesional,belum maximal karena pegawai yang di utus bukan pegawai yang sudah profesional,maximal pegawai utus bukan pegawai profesional,Netral,0.9501
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Choirul Azali,5,2021-04-19T11:59:49.761Z,Mau tanya ktp luar kota tapi masih wil jatim bisa ngurus disini ta...ktp saya blur tulisanya banyak yang hilang...kebetulan saya kerja di gresik,mau tanya ktp luar kota tapi masih wil jatim bisa ngurus disini ta ktp saya blur tulisanya banyak yang hilang kebetulan saya kerja di gresik,mau tanya ktp luar kota tapi masih wil jatim bisa ngurus disini ta ktp saya blur tulisanya banyak yang hilang kebetulan saya kerja di gresik,mau tanya ktp luar kota wil jatim ngurus disini ta ktp blur tulisanya banyak hilang kebetulan kerja gresik,Netral,0.8343
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Alva Nabilla,5,2021-04-08T23:56:47.896Z,Pelayanan cepat dan tempatnya nyaman,pelayanan cepat dan tempatnya nyaman,pelayanan cepat dan tempatnya nyaman,pelayanan cepat tempatnya nyaman,Negatif,0.9971
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Asrori Oyi,3,2021-04-08T03:10:44.882Z,Tolong untuk persyaratan mengenai adminitrasi kependudukan  kk atau ktp bisa di beritahuakan di kelurahan agar masyarakat yang mau mengurus bisa langsung jadi dan tidak kembali 2 kali...semoga gresik jadi lebih baik.,tolong untuk persyaratan mengenai adminitrasi kependudukan kk atau ktp bisa di beritahuakan di kelurahan agar masyarakat yang mau mengurus bisa langsung jadi dan tidak kembali kali semoga gresik jadi lebih baik,tolong untuk persyaratan mengenai adminitrasi kependudukan kk atau ktp bisa di beritahuakan di kelurahan agar masyarakat yang mau mengurus bisa langsung jadi dan tidak kembali kali semoga gresik jadi lebih baik,tolong persyaratan mengenai adminitrasi kependudukan kk ktp beritahuakan kelurahan agar masyarakat mau mengurus langsung jadi kembali kali semoga gresik jadi baik,Netral,0.9534
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Rachman Arief,4,2021-03-08T01:22:16.046Z,"Jam pelayanan kok tdk sama antar instansi, ada yang buka jam 8 ada juga yang buka jam 8.30, mohon bisa dikoreksi utk jam buka pastinya.",jam pelayanan kok tdk sama antar instansi ada yang buka jam ada juga yang buka jam mohon bisa dikoreksi utk jam buka pastinya,jam pelayanan kok tidak sama antar instansi ada yang buka jam ada juga yang buka jam mohon bisa dikoreksi untuk jam buka pastinya,jam pelayanan kok sama antar instansi buka jam buka jam mohon dikoreksi jam buka pastinya,Positif,0.8532
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Ingsun Bae,5,2021-02-18T02:24:59.427Z,"Tempat pelayanan publik di Gresik, pegawai ramah tempat bersih dan sejuk pertahankan kalau bisa tingkatkan",tempat pelayanan publik di gresik pegawai ramah tempat bersih dan sejuk pertahankan kalau bisa tingkatkan,tempat pelayanan publik di gresik pegawai ramah tempat bersih dan sejuk pertahankan kalau bisa tingkatkan,tempat pelayanan publik gresik pegawai ramah tempat bersih sejuk pertahankan tingkatkan,Negatif,0.9854
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Zuhroni Ali Fikri,5,2020-12-19T17:11:54.656Z,Cukup nyaman. Lokasi agak membingungkan awalnya karena MPP berada di belakang.,cukup nyaman lokasi agak membingungkan awalnya karena mpp berada di belakang,cukup nyaman lokasi agak membingungkan awalnya karena mpp berada di belakang,cukup nyaman lokasi agak membingungkan awalnya mpp berada belakang,Positif,0.6309
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Reni Sartina,4,2020-11-29T12:19:13.793Z,It's informative place with simple settings. Love to come to this place,it s informative place with simple settings love to come to this place,it s informative place with simple settings love to come to this place,it informative place with simple settings love to come to this place,Netral,0.9572
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,sahabat kita,4,2020-11-10T08:05:20.855Z,"Tempatnya nyaman, bagus, bersih dan pelayanannya baik, yang menurut saya kurang mungkin SDM nya di tambah lagi dan di tingkat kan lagi dari segi lama proses pelayanan nya, sebagian besar proses wabil khusus nya pelayanan pengurusan imb, site plan. Semoga tambah lagi di tingkat kan lagi pelanannya dan inovasi dalam pelayanan perijinan dll, Bravo Kab. Gresik 👍👍👍",tempatnya nyaman bagus bersih dan pelayanannya baik yang menurut saya kurang mungkin sdm nya di tambah lagi dan di tingkat kan lagi dari segi lama proses pelayanan nya sebagian besar proses wabil khusus nya pelayanan pengurusan imb site plan semoga tambah lagi di tingkat kan lagi pelanannya dan inovasi dalam pelayanan perijinan dll bravo kab gresik,tempatnya nyaman bagus bersih dan pelayanannya baik yang menurut saya kurang mungkin sdm nya di tambah lagi dan di tingkat kan lagi dari segi lama proses pelayanan nya sebagian besar proses wabil khusus nya pelayanan pengurusan imb site plan semoga tambah lagi di tingkat kan lagi pelanannya dan inovasi dalam pelayanan perijinan dll bravo kab gresik,tempatnya nyaman bagus bersih pelayanannya baik menurut kurang mungkin sdm tambah tingkat kan segi lama proses pelayanan sebagian besar proses wabil khusus pelayanan pengurusan imb site plan semoga tambah tingkat kan pelanannya inovasi pelayanan perijinan dll bravo kab gresik,Negatif,0.9843
