Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,sentimen,sentimen_score
RSUD Ibnu Sina Gresik,4.2,1807,Shulaihah,5,2026-07-16T05:05:47.585Z,Baik sangat baik cukup bersih dan nyaman,baik sangat baik cukup bersih dan nyaman,baik sangat baik cukup bersih dan nyaman,baik baik cukup bersih nyaman,Negatif,0.956
RSUD Ibnu Sina Gresik,4.2,1807,purih slamet,5,2026-07-16T05:04:51.782Z,Pelayanan sangat baik dan ramah,pelayanan sangat baik dan ramah,pelayanan sangat baik dan ramah,pelayanan baik ramah,Negatif,0.995
RSUD Ibnu Sina Gresik,4.2,1807,Sumiati Farin,5,2026-07-16T02:52:33.807Z,Baik trimakasih perawat ruang Dahlia atas perawatan bapak sayaperawat sama dokter baik2,baik trimakasih perawat ruang dahlia atas perawatan bapak sayaperawat sama dokter baik2,baik trimakasih perawat ruang dahlia atas perawatan bapak sayaperawat sama dokter baik2,baik trimakasih perawat ruang dahlia atas perawatan bapak sayaperawat sama dokter baik2,Netral,0.8599
RSUD Ibnu Sina Gresik,4.2,1807,Rhea Aja,5,2026-07-15T05:17:11.971Z,Baik smua. Perawat juga perhatian n baik..terima kasih banyk smua perawat,baik smua perawat juga perhatian n baik terima kasih banyk smua perawat,baik smua perawat juga perhatian n baik terima kasih banyk smua perawat,baik smua perawat perhatian baik terima kasih banyk smua perawat,Negatif,0.6431
RSUD Ibnu Sina Gresik,4.2,1807,Fatin Khoiroh,5,2026-07-10T01:11:12.688Z,"Terimakasih Ibnu Sina diruang Dahlia pelayanan slalu menyenangkan, kebersihan terjaga",terimakasih ibnu sina diruang dahlia pelayanan slalu menyenangkan kebersihan terjaga,terimakasih ibnu sina diruang dahlia pelayanan slalu menyenangkan kebersihan terjaga,terimakasih ibnu sina diruang dahlia pelayanan slalu menyenangkan kebersihan terjaga,Negatif,0.9871
RSUD Ibnu Sina Gresik,4.2,1807,enggar mahendra,3,2026-07-10T00:47:01.306Z,Saya rawat inap diruang dahlia suasana kalau malam sunyi tapi kalau sore ada anak² jenguk pada berlarian ngintip² pasien lain menurutku kurang sopan yaa tp pelayanannya baik kok perawatnya juga ramah²... semoga makin sukses makin berkembang,saya rawat inap diruang dahlia suasana kalau malam sunyi tapi kalau sore ada anak jenguk pada berlarian ngintip pasien lain menurutku kurang sopan yaa tp pelayanannya baik kok perawatnya juga ramah semoga makin sukses makin berkembang,saya rawat inap diruang dahlia suasana kalau malam sunyi tapi kalau sore ada anak jenguk pada berlarian ngintip pasien lain menurutku kurang sopan yaa tapi pelayanannya baik kok perawatnya juga ramah semoga makin sukses makin berkembang,rawat inap diruang dahlia suasana malam sunyi sore anak jenguk berlarian ngintip pasien lain menurutku kurang sopan yaa pelayanannya baik kok perawatnya ramah semoga makin sukses makin berkembang,Negatif,0.9326
RSUD Ibnu Sina Gresik,4.2,1807,Gemilang Citra Perdana,5,2026-07-10T00:11:33.169Z,"Saat di Kantin Ibnu Sina, saya mencari kopi susu tapi ndak ada yang jual, adanya secangkir kecil Good Day Cappucino seharga 10.000.",saat di kantin ibnu sina saya mencari kopi susu tapi ndak ada yang jual adanya secangkir kecil good day cappucino seharga,saat di kantin ibnu sina saya mencari kopi susu tapi ndak ada yang jual adanya secangkir kecil good day cappucino seharga,kantin ibnu sina mencari kopi susu ndak jual adanya secangkir kecil good day cappucino seharga,Netral,0.9689
RSUD Ibnu Sina Gresik,4.2,1807,Sri Wahyuni,5,2026-07-09T03:50:27.249Z,Terima kasih atas pelayanan ruang Dahlia atas perawatan bapak saya perawatnya baik2 makasih Ibnu sina,terima kasih atas pelayanan ruang dahlia atas perawatan bapak saya perawatnya baik2 makasih ibnu sina,terima kasih atas pelayanan ruang dahlia atas perawatan bapak saya perawatnya baik2 makasih ibnu sina,terima kasih atas pelayanan ruang dahlia atas perawatan bapak perawatnya baik2 makasih ibnu sina,Negatif,0.6055
RSUD Ibnu Sina Gresik,4.2,1807,Siti Qomariyah,4,2026-07-07T00:47:07.221Z,Untuk kamar dahlia tempatnya nyaman dan pelayanannya bagus,untuk kamar dahlia tempatnya nyaman dan pelayanannya bagus,untuk kamar dahlia tempatnya nyaman dan pelayanannya bagus,kamar dahlia tempatnya nyaman pelayanannya bagus,Negatif,0.9974
RSUD Ibnu Sina Gresik,4.2,1807,Putri Handayani,5,2026-07-07T00:46:17.684Z,Saat saya di rawat di rs ibnu sina terutama di ruangan dahlia pelayanan.nya sangat bagus dokter dan perawatnya pun sangat ramah terhadap pasien .,saat saya di rawat di rs ibnu sina terutama di ruangan dahlia pelayanan nya sangat bagus dokter dan perawatnya pun sangat ramah terhadap pasien,saat saya di rawat di rumah sakit ibnu sina terutama di ruangan dahlia pelayanan nya sangat bagus dokter dan perawatnya pun sangat ramah terhadap pasien,rawat rumah sakit ibnu sina terutama ruangan dahlia pelayanan bagus dokter perawatnya ramah terhadap pasien,Negatif,0.9937
RSUD Ibnu Sina Gresik,4.2,1807,siswowati,5,2026-07-07T00:44:47.825Z,ruang an dahlia sangat nyaman dan bersih,ruang an dahlia sangat nyaman dan bersih,ruang an dahlia sangat nyaman dan bersih,ruang an dahlia nyaman bersih,Negatif,0.9915
RSUD Ibnu Sina Gresik,4.2,1807,hendri istirsha,5,2026-07-06T09:21:39.238Z,Pelayanan rawat jalan jauh lebih baik.apalagi fasilitas sangat nyaman,pelayanan rawat jalan jauh lebih baik apalagi fasilitas sangat nyaman,pelayanan rawat jalan jauh lebih baik apalagi fasilitas sangat nyaman,pelayanan rawat jalan jauh baik apalagi fasilitas nyaman,Positif,0.9225
RSUD Ibnu Sina Gresik,4.2,1807,Imanda Nikma,5,2026-07-06T02:59:02.575Z,Terima kasih atas perawatan suami saya diruang Dahlia perawat dan dokter ramah 2,terima kasih atas perawatan suami saya diruang dahlia perawat dan dokter ramah,terima kasih atas perawatan suami saya diruang dahlia perawat dan dokter ramah,terima kasih atas perawatan suami diruang dahlia perawat dokter ramah,Negatif,0.9196
RSUD Ibnu Sina Gresik,4.2,1807,Adira Khanza,5,2026-07-06T02:47:52.336Z,Ruang dahlia sangat bagus dan nyaman perawatnya respon baik dan sopan pokoknya topp,ruang dahlia sangat bagus dan nyaman perawatnya respon baik dan sopan pokoknya topp,ruang dahlia sangat bagus dan nyaman perawatnya respon baik dan sopan pokoknya topp,ruang dahlia bagus nyaman perawatnya respon baik sopan pokoknya topp,Negatif,0.9961
RSUD Ibnu Sina Gresik,4.2,1807,Gupron Pron,5,2026-07-06T02:46:46.070Z,Ruang Dahlia nyaman perawatannya bagus,ruang dahlia nyaman perawatannya bagus,ruang dahlia nyaman perawatannya bagus,ruang dahlia nyaman perawatannya bagus,Negatif,0.9959
RSUD Ibnu Sina Gresik,4.2,1807,juwanto wanto,5,2026-07-06T02:40:38.160Z,"Ruang Dahlia sangat nyaman, semua faselitas terpenuhi, respon perawat cepat pokoknya pasien dan keluarganya nyaman",ruang dahlia sangat nyaman semua faselitas terpenuhi respon perawat cepat pokoknya pasien dan keluarganya nyaman,ruang dahlia sangat nyaman semua faselitas terpenuhi respon perawat cepat pokoknya pasien dan keluarganya nyaman,ruang dahlia nyaman semua faselitas terpenuhi respon perawat cepat pokoknya pasien keluarganya nyaman,Negatif,0.991
RSUD Ibnu Sina Gresik,4.2,1807,Ipank Mprut,5,2026-07-06T00:40:12.624Z,Terima kasih atas pelayanan d ruang Dahlia semoga ke depan nya memberikan pelayanan yang jauh lebih baik lagi,terima kasih atas pelayanan d ruang dahlia semoga ke depan nya memberikan pelayanan yang jauh lebih baik lagi,terima kasih atas pelayanan d ruang dahlia semoga ke depan nya memberikan pelayanan yang jauh lebih baik lagi,terima kasih atas pelayanan ruang dahlia semoga depan memberikan pelayanan jauh baik,Negatif,0.8623
RSUD Ibnu Sina Gresik,4.2,1807,Safira Wahyu Pratiwi 051 A1-18,5,2026-06-30T04:41:20.605Z,Ruang dahlia pelayanannya the besttttt baikkk 😍 semuanya ramah2,ruang dahlia pelayanannya the besttttt baikkk semuanya ramah2,ruang dahlia pelayanannya the besttttt baikkk semuanya ramah2,ruang dahlia pelayanannya the besttttt baikkk semuanya ramah2,Negatif,0.9973
RSUD Ibnu Sina Gresik,4.2,1807,Risa Dwipristiyanti,4,2026-06-28T14:47:39.805Z,Di mohon untuk keamanan satpam di pertegas lagi... Saya telah kehilangan hp saat MLM hari sekitar jam 2 jam 3 tgl 27 Juni 2026 dan yg kehilangan bukan cuma saya bahkan keluarga pasien lain kehilangan hp juga sama uang  saya sudah lapor pihak satpam ngk ada tindak lanjut lagi... Dan di mohon untuk cctv ruangan di perbaiki dan di tambah cctv lebih banyak lagi soalnya cctv ruangan kamar pasien telah rusak semua dan jam2 kunjungan pasien di mohon di batasi.. trimakasih 🙏,di mohon untuk keamanan satpam di pertegas lagi saya telah kehilangan hp saat mlm hari sekitar jam jam tgl juni dan yg kehilangan bukan cuma saya bahkan keluarga pasien lain kehilangan hp juga sama uang saya sudah lapor pihak satpam ngk ada tindak lanjut lagi dan di mohon untuk cctv ruangan di perbaiki dan di tambah cctv lebih banyak lagi soalnya cctv ruangan kamar pasien telah rusak semua dan jam2 kunjungan pasien di mohon di batasi trimakasih,di mohon untuk keamanan satpam di pertegas lagi saya telah kehilangan hp saat mlm hari sekitar jam jam tgl juni dan yang kehilangan bukan cuma saya bahkan keluarga pasien lain kehilangan hp juga sama uang saya sudah lapor pihak satpam ngk ada tindak lanjut lagi dan di mohon untuk cctv ruangan di perbaiki dan di tambah cctv lebih banyak lagi soalnya cctv ruangan kamar pasien telah rusak semua dan jam2 kunjungan pasien di mohon di batasi trimakasih,mohon keamanan satpam pertegas telah kehilangan hp mlm hari sekitar jam jam tgl juni kehilangan bukan cuma bahkan keluarga pasien lain kehilangan hp sama uang lapor pihak satpam ngk tindak lanjut mohon cctv ruangan perbaiki tambah cctv banyak soalnya cctv ruangan kamar pasien telah rusak semua jam2 kunjungan pasien mohon batasi trimakasih,Positif,0.9296
RSUD Ibnu Sina Gresik,4.2,1807,Ika Rahmawati,5,2026-06-27T02:26:30.314Z,Klinik Psikologi Klinis Alhamdulillah saya mendapatkan pelayanan yang baik. Dan semoga ada perkembangan yang baik untuk anak saya sesuai dengan arahan dan treatment yang dilakukan kami nanti di rumah.,klinik psikologi klinis alhamdulillah saya mendapatkan pelayanan yang baik dan semoga ada perkembangan yang baik untuk anak saya sesuai dengan arahan dan treatment yang dilakukan kami nanti di rumah,klinik psikologi klinis alhamdulillah saya mendapatkan pelayanan yang baik dan semoga ada perkembangan yang baik untuk anak saya sesuai dengan arahan dan treatment yang dilakukan kami nanti di rumah,klinik psikologi klinis alhamdulillah mendapatkan pelayanan baik semoga perkembangan baik anak sesuai arahan treatment dilakukan nanti rumah,Negatif,0.9666
RSUD Ibnu Sina Gresik,4.2,1807,Muhammad Fauzi,5,2026-06-26T01:39:08.781Z,Alhamdulillah klinik psikologi rumah sakit Ibnu Sina bisa memberikan solusi terbaik untuk permasalahan psikologi anak kami. Tks untuk Bu Dokter dan asisten.🙏🙏🙏,alhamdulillah klinik psikologi rumah sakit ibnu sina bisa memberikan solusi terbaik untuk permasalahan psikologi anak kami tks untuk bu dokter dan asisten,alhamdulillah klinik psikologi rumah sakit ibnu sina bisa memberikan solusi terbaik untuk permasalahan psikologi anak kami tks untuk bu dokter dan asisten,alhamdulillah klinik psikologi rumah sakit ibnu sina memberikan solusi terbaik permasalahan psikologi anak tks bu dokter asisten,Netral,0.794
RSUD Ibnu Sina Gresik,4.2,1807,Ivan Nandasyah,5,2026-06-24T12:26:23.793Z,Pelayanan ramah dan cepat,pelayanan ramah dan cepat,pelayanan ramah dan cepat,pelayanan ramah cepat,Negatif,0.996
RSUD Ibnu Sina Gresik,4.2,1807,Yanti Nur,3,2026-06-23T07:10:56.104Z,Kontrol sdh bbrp mnggu yang llu..administrasi sdh selesai.hsil ronsen jg sdh dberikan tp petugas tdk mnjelaskan apapun pdhl wktu itu saya sdh brtnya apa ini brlnjut k kasir apa gmn tp tdk ada pnjlsn lngsung aj saya plg krn saya blm prnh ksna jg brobt bru kli ini...dan stlh bbrp mnggu kmudian ada tlf dari pihak rumh skit menagih administrasi ronsen🤦🏻‍♀️.mhon lbh teliti lg soal administrasi n pnjlsan kpd pasien/kluarga pasien,kontrol sdh bbrp mnggu yang llu administrasi sdh selesai hsil ronsen jg sdh dberikan tp petugas tdk mnjelaskan apapun pdhl wktu itu saya sdh brtnya apa ini brlnjut k kasir apa gmn tp tdk ada pnjlsn lngsung aj saya plg krn saya blm prnh ksna jg brobt bru kli ini dan stlh bbrp mnggu kmudian ada tlf dari pihak rumh skit menagih administrasi ronsen mhon lbh teliti lg soal administrasi n pnjlsan kpd pasien kluarga pasien,kontrol sudah bbrp mnggu yang llu administrasi sudah selesai hsil ronsen juga sudah dberikan tapi petugas tidak mnjelaskan apapun pdhl wktu itu saya sudah brtnya apa ini brlnjut k kasir apa gmn tapi tidak ada pnjlsn lngsung aj saya paling karena saya belum prnh ksna juga brobt bru kli ini dan stlh bbrp mnggu kmudian ada tlf dari pihak rumh skit menagih administrasi ronsen mhon lebih teliti lg soal administrasi n pnjlsan kpd pasien kluarga pasien,kontrol bbrp mnggu llu administrasi selesai hsil ronsen dberikan petugas mnjelaskan apapun pdhl wktu brtnya apa brlnjut kasir apa gmn pnjlsn lngsung aj paling prnh ksna brobt bru kli stlh bbrp mnggu kmudian tlf pihak rumh skit menagih administrasi ronsen mhon teliti lg soal administrasi pnjlsan kpd pasien kluarga pasien,Netral,0.5834
RSUD Ibnu Sina Gresik,4.2,1807,Ferdi Firmansyah,1,2026-06-22T23:20:57.914Z,RUMAH SAKIT NEMEN,rumah sakit nemen,rumah sakit nemen,rumah sakit nemen,Netral,0.9755
RSUD Ibnu Sina Gresik,4.2,1807,marina dewi fitriyani,5,2026-06-15T00:09:58.902Z,Fasilitas memadai,fasilitas memadai,fasilitas memadai,fasilitas memadai,Negatif,0.9917
RSUD Ibnu Sina Gresik,4.2,1807,PERDANU ANDRA RISKI OFFIANTO _,5,2026-06-13T04:52:25.718Z,"Pelayanan luar biasa! Stafnya ramah, dokter sangat komunikatif dan profesional, serta lingkungan rumah sakit yang bersih. Proses antrean juga teratur dan tidak memakan waktu lama. Gedung yang baru terasa nyaman walaupun antrean banyak.",pelayanan luar biasa stafnya ramah dokter sangat komunikatif dan profesional serta lingkungan rumah sakit yang bersih proses antrean juga teratur dan tidak memakan waktu lama gedung yang baru terasa nyaman walaupun antrean banyak,pelayanan luar biasa stafnya ramah dokter sangat komunikatif dan profesional serta lingkungan rumah sakit yang bersih proses antrean juga teratur dan tidak memakan waktu lama gedung yang baru terasa nyaman walaupun antrean banyak,pelayanan luar biasa stafnya ramah dokter komunikatif profesional serta lingkungan rumah sakit bersih proses antrean teratur memakan waktu lama gedung terasa nyaman walaupun antrean banyak,Negatif,0.9969
RSUD Ibnu Sina Gresik,4.2,1807,siti nur faridah,5,2026-06-13T03:39:49.887Z,Pelayanannya ramah,pelayanannya ramah,pelayanannya ramah,pelayanannya ramah,Negatif,0.9968
RSUD Ibnu Sina Gresik,4.2,1807,Yulita Putri,5,2026-06-13T03:37:17.774Z,"pelayana baik, rs bersih",pelayana baik rs bersih,pelayana baik rumah sakit bersih,pelayana baik rumah sakit bersih,Negatif,0.9871
RSUD Ibnu Sina Gresik,4.2,1807,Suryani Putro,5,2026-06-11T13:14:38.344Z,Terakhir kesini 2 th lalu.kemarin suami habis priksa dan opname disini lagi.kaget banget pelayanannya lebih cepat dan lebih nyaman.terimakasih para pegawai RS Ibnu sina atas pelayanannya,terakhir kesini th lalu kemarin suami habis priksa dan opname disini lagi kaget banget pelayanannya lebih cepat dan lebih nyaman terimakasih para pegawai rs ibnu sina atas pelayanannya,terakhir kesini th lalu kemarin suami habis priksa dan opname disini lagi kaget banget pelayanannya lebih cepat dan lebih nyaman terimakasih para pegawai rumah sakit ibnu sina atas pelayanannya,terakhir kesini th lalu kemarin suami habis priksa opname disini kaget banget pelayanannya cepat nyaman terimakasih para pegawai rumah sakit ibnu sina atas pelayanannya,Negatif,0.9258
RSUD Ibnu Sina Gresik,4.2,1807,Alfi Kurnianti,1,2026-06-11T06:20:02.055Z,"Pelayanan lama, daftar poli gigi mulai set9 sampai jam set2 baru ditangani. Dokternya baru datang jam 11. Waktu dipanggil satu2, tidak sesuai nomor antrian. Yang datang belakangan ditangani duluan. Minta tolong untuk diperbaiki pelayanannya, meskipun bpjs tiap bulannya juga bayar. Terimakasih 🙏🏻",pelayanan lama daftar poli gigi mulai set9 sampai jam set2 baru ditangani dokternya baru datang jam waktu dipanggil satu2 tidak sesuai nomor antrian yang datang belakangan ditangani duluan minta tolong untuk diperbaiki pelayanannya meskipun bpjs tiap bulannya juga bayar terimakasih,pelayanan lama daftar poli gigi mulai set9 sampai jam set2 baru ditangani dokternya baru datang jam waktu dipanggil satu2 tidak sesuai nomor antrian yang datang belakangan ditangani duluan minta tolong untuk diperbaiki pelayanannya meskipun bpjs tiap bulannya juga bayar terimakasih,pelayanan lama daftar poli gigi mulai set9 sampai jam set2 ditangani dokternya datang jam waktu dipanggil satu2 sesuai nomor antrian datang belakangan ditangani duluan minta tolong diperbaiki pelayanannya meskipun bpjs tiap bulannya bayar terimakasih,Positif,0.6719
RSUD Ibnu Sina Gresik,4.2,1807,Dwi Astuti,5,2026-06-09T05:34:58.426Z,Terima kasih buat semua perawat dahlia ygsudah merawat anka saya 🙏🙏🙏🙏,terima kasih buat semua perawat dahlia ygsudah merawat anka saya,terima kasih buat semua perawat dahlia ygsudah merawat anka saya,terima kasih buat semua perawat dahlia ygsudah merawat anka,Negatif,0.564
RSUD Ibnu Sina Gresik,4.2,1807,Elin Ernawati,5,2026-06-09T01:35:30.661Z,"Alhamdulillah,,,mulai tgl 8 bln 4 opname ygpertama,,sampai masuk yg ke2 di bln juni selama 8 hari so far so good,,,dari dr.siska welcome dg pertanyaan pasien dan bisa memahamkan sy,,begitupun dg dr.bedah di jelaskan begitu detail sekali,,,perawat dan petugas di ruang IXIA,,super duper baik sekali...langsung sigap cepat,,,trimakasih dokter,suster dan RSUD.IBNU SINA",alhamdulillah mulai tgl bln opname ygpertama sampai masuk yg ke2 di bln juni selama hari so far so good dari dr siska welcome dg pertanyaan pasien dan bisa memahamkan sy begitupun dg dr bedah di jelaskan begitu detail sekali perawat dan petugas di ruang ixia super duper baik sekali langsung sigap cepat trimakasih dokter suster dan rsud ibnu sina,alhamdulillah mulai tgl bln opname ygpertama sampai masuk yang ke2 di bln juni selama hari so far so good dari dari siska welcome dengan pertanyaan pasien dan bisa memahamkan saya begitupun dengan dari bedah di jelaskan begitu detail sekali perawat dan petugas di ruang ixia super duper baik sekali langsung sigap cepat trimakasih dokter suster dan rsud ibnu sina,alhamdulillah mulai tgl bln opname ygpertama sampai masuk ke2 bln juni selama hari so far so good siska welcome pertanyaan pasien memahamkan begitupun bedah jelaskan begitu detail perawat petugas ruang ixia super duper baik langsung sigap cepat trimakasih dokter suster rsud ibnu sina,Negatif,0.7871
